ID,Name,HP,Attack,Defense,Speed,Luck,Magic,Resistance,Agility
1,Earth Mage Master,128,16,14,14,51,18,27,6
2,Light Priest King,107,20,23,1,81,38,16,4
3,Ancient Paladin Champion,130,11,29,3,90,44,20,5
4,Ancient Knight Prince,173,10,23,16,75,29,9,1
5,Ancient Paladin Guardian,67,19,32,6,65,17,6,15
6,Storm Warrior Queen,155,35,12,1,37,23,7,18
7,Ancient Assassin Elite,169,27,22,10,1,51,5,1
8,Ancient Berserker Elite,187,47,21,8,62,12,16,4
9,Ice Paladin Prince,110,21,36,12,73,10,31,23
10,Fire Paladin Master,65,28,16,15,15,16,11,15
11,Storm Necromancer Slayer,150,38,15,11,98,42,5,9
12,Shadow Warrior Lord,89,11,12,12,42,14,34,3
13,Dark Knight King,162,43,5,1,84,54,12,23
14,Holy Archer Prince,145,35,11,6,19,11,11,23
15,Shadow Paladin Master,182,17,15,11,56,45,8,15
16,Fire Ranger Queen,102,48,21,11,94,50,8,3
17,Ancient Mage Legend,158,26,25,8,13,55,33,22
18,Dark Knight Prince,142,47,33,15,28,26,20,20
19,Light Ranger Guardian,78,21,12,16,64,14,17,20
20,Holy Paladin Legend,191,28,36,19,16,39,11,16
21,Storm Paladin Master,170,23,23,14,20,36,28,14
22,Dark Necromancer Elite,58,18,15,4,29,23,31,12
23,Fire Assassin Slayer,149,49,17,17,31,19,33,15
24,Earth Knight Legend,61,28,35,6,92,54,31,1
25,Light Priest Elite,183,26,28,13,98,24,33,19
26,Ancient Knight Guardian,56,37,23,7,35,20,23,16
27,Earth Knight Guardian,64,15,34,6,97,27,5,14
28,Fire Mage Master,146,14,38,4,65,19,24,16
29,Holy Knight Guardian,113,27,11,16,55,36,25,10
30,Earth Necromancer Guardian,83,22,23,16,69,25,22,19
31,Ice Necromancer Prince,178,11,19,8,17,38,17,1
32,Shadow Assassin King,122,38,19,2,19,49,18,22
33,Shadow Priest Lord,192,45,27,13,84,35,14,2
34,Dark Necromancer Guardian,187,32,10,8,14,28,8,1
35,Earth Warrior Lord,187,43,33,8,60,16,28,7
36,Storm Warrior Elite,147,13,23,15,52,45,32,17
37,Holy Knight Queen,178,41,34,18,81,43,7,20
38,Shadow Ranger Master,156,48,33,16,44,55,10,7
39,Holy Knight Prince,187,46,7,17,35,52,16,3
40,Shadow Mage Champion,126,48,6,11,66,25,8,5
41,Wind Mage Master,119,25,24,19,71,23,34,12
42,Earth Priest Elite,92,45,37,17,96,25,12,10
43,Holy Ranger Elite,174,28,34,15,89,22,31,4
44,Earth Berserker Queen,164,28,28,6,37,17,8,3
45,Ice Priest King,120,37,10,12,77,27,29,24
46,Fire Archer Lord,111,32,8,3,92,29,27,15
47,Ice Necromancer Queen,173,14,21,4,68,57,7,8
48,Wind Knight Prince,121,49,10,12,26,33,20,8
49,Earth Archer Master,122,11,9,4,23,20,26,9
50,Holy Warrior Queen,55,44,6,3,57,43,30,21
51,Ancient Priest Legend,180,13,9,19,30,16,13,2
52,Dark Archer Master,147,35,20,2,51,46,31,14
53,Fire Assassin Prince,55,47,15,12,11,55,30,12
54,Holy Archer Guardian,137,17,6,1,24,55,23,3
55,Holy Ranger Master,182,18,19,14,49,18,9,24
56,Ice Archer Queen,104,11,11,14,71,10,15,6
57,Earth Assassin Legend,55,11,13,1,46,34,34,24
58,Light Berserker Guardian,176,12,7,4,38,30,25,8
59,Holy Paladin Queen,74,42,5,17,54,20,22,18
60,Storm Mage Slayer,194,16,17,9,46,45,24,1
61,Storm Necromancer Slayer,160,17,8,12,54,41,33,13
62,Fire Berserker Master,145,45,20,1,59,57,27,10
63,Storm Warrior Queen,64,14,36,16,91,57,34,16
64,Holy Archer Queen,113,13,33,15,91,43,33,19
65,Ancient Ranger Master,168,31,22,1,43,15,26,6
66,Dark Assassin Guardian,96,13,5,14,73,46,34,14
67,Wind Ranger Legend,76,28,17,5,83,11,7,11
68,Wind Warrior Guardian,197,22,17,6,87,36,31,24
69,Storm Mage Elite,165,40,29,15,21,56,12,19
70,Storm Mage King,179,24,6,13,22,23,25,4
71,Wind Berserker Guardian,155,14,29,7,43,52,19,16
72,Wind Archer Champion,70,37,25,10,9,51,9,5
73,Shadow Priest Queen,150,27,39,6,20,25,23,7
74,Ice Knight King,73,12,25,1,85,35,16,8
75,Holy Knight Elite,56,19,17,2,71,19,30,24
76,Storm Berserker Elite,80,27,13,7,15,42,9,2
77,Ice Ranger Queen,163,31,23,18,5,58,24,20
78,Earth Berserker Master,140,26,31,18,12,40,17,11
79,Ice Ranger Guardian,59,44,10,16,50,28,26,4
80,Wind Necromancer Lord,141,28,33,11,79,17,30,9
81,Wind Warrior Queen,60,43,34,12,23,37,21,16
82,Ancient Assassin Prince,61,28,28,15,25,33,13,2
83,Storm Necromancer Lord,103,41,15,2,56,50,13,15
84,Ancient Mage Guardian,148,41,15,18,91,16,10,15
85,Dark Ranger Champion,53,25,17,17,3,54,16,2
86,Earth Priest Prince,175,29,7,6,13,59,27,9
87,Ice Knight Queen,114,42,35,9,31,38,9,22
88,Shadow Paladin King,129,40,36,15,67,49,16,5
89,Ancient Assassin Master,73,48,33,17,62,10,11,21
90,Wind Assassin Queen,133,48,24,1,56,39,29,22
91,Wind Berserker Slayer,123,48,15,8,39,25,34,24
92,Light Knight Elite,96,36,37,13,43,57,9,17
93,Ancient Warrior Champion,55,18,37,4,67,21,28,10
94,Dark Berserker Prince,112,28,34,12,23,41,31,21
95,Wind Archer Master,132,36,36,2,90,17,31,19
96,Ancient Priest Slayer,142,47,7,9,21,42,27,5
97,Holy Mage King,169,19,21,16,84,46,20,20
98,Light Archer Guardian,178,36,14,6,59,25,24,13
99,Fire Priest Legend,152,43,37,10,76,30,12,4
100,Storm Assassin Legend,81,44,28,12,11,25,9,6
101,Fire Knight Prince,199,12,19,4,92,12,17,14
102,Fire Ranger Slayer,170,32,26,17,34,57,7,14
103,Ancient Berserker Lord,182,28,19,12,98,20,15,9
104,Dark Archer Guardian,75,43,35,2,58,34,10,17
105,Ancient Mage Master,117,12,9,19,24,58,10,4
106,Wind Archer Champion,168,17,38,15,32,13,11,5
107,Shadow Paladin Queen,69,25,32,1,25,29,23,9
108,Fire Priest Master,160,10,17,10,1,58,16,5
109,Shadow Priest Queen,93,12,28,3,80,18,8,12
110,Holy Mage Queen,193,47,30,4,23,45,29,13
111,Fire Ranger Lord,152,27,38,8,82,12,12,21
112,Wind Paladin Legend,156,13,30,7,14,38,18,6
113,Shadow Paladin Legend,95,11,19,15,80,46,24,9
114,Ice Mage Prince,51,25,13,3,39,27,7,6
115,Shadow Knight Slayer,198,18,27,10,90,39,11,3
116,Dark Necromancer Prince,159,15,37,19,7,22,20,5
117,Fire Archer Champion,71,13,16,2,99,19,7,4
118,Earth Paladin Prince,137,12,12,3,31,51,7,4
119,Fire Necromancer Guardian,123,36,8,5,40,24,29,17
120,Holy Necromancer Queen,72,12,24,3,80,39,6,1
121,Ancient Archer Slayer,73,32,35,15,94,57,25,3
122,Light Necromancer Champion,131,33,28,1,78,49,29,8
123,Shadow Necromancer Prince,68,46,9,11,16,11,19,3
124,Fire Necromancer King,158,29,23,7,61,27,31,1
125,Earth Paladin Prince,91,31,38,9,79,50,12,5
126,Earth Archer Champion,136,27,39,13,37,49,24,16
127,Dark Priest Legend,80,44,11,10,44,18,19,11
128,Shadow Archer Champion,135,35,26,12,69,22,25,21
129,Dark Archer Elite,185,46,8,7,96,58,8,9
130,Ancient Priest Elite,105,22,7,6,32,28,7,18
131,Light Archer Prince,158,44,17,1,75,14,17,24
132,Fire Knight Guardian,69,48,14,8,9,20,19,9
133,Earth Archer Lord,134,20,14,11,41,56,14,19
134,Ice Warrior Slayer,102,17,12,1,92,21,5,24
135,Ancient Archer Guardian,162,17,8,1,93,24,30,6
136,Holy Berserker King,116,22,8,15,22,44,19,16
137,Storm Necromancer Prince,101,34,7,3,7,24,13,9
138,Earth Mage Elite,192,30,8,9,41,59,5,23
139,Dark Mage Master,50,40,37,18,17,10,14,12
140,Ice Paladin Guardian,75,44,22,18,78,20,22,24
141,Storm Warrior Lord,114,24,25,13,79,23,19,16
142,Storm Ranger Queen,83,34,16,5,14,15,12,1
143,Dark Paladin Lord,97,23,13,18,49,20,29,9
144,Light Priest Elite,169,23,24,7,50,20,6,1
145,Wind Mage Champion,161,35,35,12,55,14,18,17
146,Storm Ranger Queen,75,11,13,9,86,49,13,20
147,Light Priest Champion,70,43,39,13,78,40,6,24
148,Dark Necromancer Elite,123,33,26,2,88,43,26,22
149,Storm Warrior Master,96,16,23,3,7,27,12,18
150,Shadow Necromancer Lord,184,29,6,12,88,25,30,16
151,Storm Paladin Prince,61,31,27,16,79,55,23,3
152,Fire Warrior Champion,192,30,34,3,68,37,25,18
153,Ice Necromancer Master,87,37,9,1,28,49,17,2
154,Holy Assassin Queen,164,13,39,9,25,38,15,3
155,Holy Berserker Master,63,31,23,15,75,41,13,24
156,Holy Knight Prince,188,21,38,14,78,41,29,17
157,Light Archer King,128,40,31,3,23,25,8,10
158,Light Mage Prince,63,34,25,10,52,11,28,19
159,Holy Berserker Elite,80,16,28,10,54,49,26,7
160,Dark Knight Legend,167,10,32,1,60,29,34,21
161,Ice Warrior Queen,109,18,17,3,29,15,28,22
162,Ice Knight Guardian,118,31,26,9,72,48,15,17
163,Shadow Necromancer Master,73,42,25,14,51,31,17,20
164,Ancient Archer Elite,167,40,21,3,43,34,23,12
165,Light Necromancer Prince,74,32,12,8,13,43,11,12
166,Wind Warrior Queen,85,12,23,11,57,39,15,12
167,Earth Knight King,118,40,34,19,56,26,30,2
168,Ice Berserker Lord,135,36,5,10,10,25,26,15
169,Storm Priest Legend,100,30,19,13,88,56,5,4
170,Holy Archer Lord,170,13,21,11,14,15,31,16
171,Earth Priest Slayer,199,29,35,10,8,34,6,19
172,Ancient Paladin Champion,129,27,16,11,93,32,32,2
173,Fire Ranger Legend,92,44,37,1,54,18,23,18
174,Shadow Ranger King,136,30,37,15,37,52,20,3
175,Ancient Archer Prince,197,32,6,5,56,19,17,18
176,Earth Archer Champion,53,17,5,12,5,57,31,4
177,Fire Ranger Legend,77,43,33,13,16,14,7,13
178,Light Ranger Slayer,163,44,17,19,31,40,17,8
179,Dark Archer Master,155,29,31,15,77,50,21,6
180,Holy Necromancer Guardian,53,25,11,9,91,11,15,16
181,Dark Necromancer Elite,92,27,9,5,5,42,12,18
182,Ancient Berserker Slayer,58,15,15,18,39,25,13,24
183,Ancient Necromancer Champion,60,44,38,16,88,44,17,23
184,Storm Mage Master,151,18,15,13,52,47,32,24
185,Dark Ranger Elite,91,23,6,3,3,41,6,9
186,Dark Necromancer Elite,119,24,14,6,24,48,21,8
187,Ancient Warrior Guardian,183,28,8,12,75,49,20,2
188,Ancient Paladin Legend,55,32,27,15,76,43,27,22
189,Light Necromancer Lord,140,40,37,7,25,35,9,10
190,Holy Ranger Legend,147,27,25,1,43,54,12,20
191,Ancient Ranger King,129,23,29,13,48,10,31,14
192,Dark Ranger Guardian,146,44,16,13,41,36,5,22
193,Earth Necromancer Master,63,46,12,4,73,22,31,16
194,Ice Ranger Queen,94,18,25,13,62,12,9,13
195,Fire Berserker Elite,198,41,30,14,76,33,26,20
196,Dark Mage King,113,19,32,9,30,23,24,17
197,Storm Assassin Slayer,82,32,9,2,76,55,34,19
198,Dark Berserker Queen,51,47,19,9,5,33,16,23
199,Earth Berserker Lord,186,41,17,17,19,47,30,21
200,Earth Mage Guardian,80,33,10,11,70,45,28,20
201,Ice Necromancer Slayer,194,19,35,1,84,21,9,7
202,Storm Ranger Master,191,36,16,14,91,46,11,22
203,Fire Necromancer King,109,39,34,6,47,48,25,4
204,Wind Archer King,69,43,9,19,17,54,23,18
205,Fire Priest Slayer,64,35,22,5,98,49,7,15
206,Ice Berserker Slayer,143,43,9,4,56,48,16,15
207,Ice Warrior Champion,144,30,22,12,92,37,15,7
208,Storm Berserker Champion,145,35,11,15,23,49,31,2
209,Dark Paladin Guardian,101,18,14,17,98,26,30,8
210,Wind Warrior Guardian,89,10,39,15,39,53,20,7
211,Light Warrior Master,173,18,22,19,78,36,22,17
212,Fire Necromancer Elite,197,17,14,7,7,38,34,11
213,Light Ranger Slayer,195,24,11,15,47,30,5,14
214,Holy Priest Prince,78,25,7,8,1,37,14,18
215,Ancient Paladin Slayer,81,10,33,10,7,50,33,7
216,Wind Ranger Lord,65,19,9,16,99,13,10,17
217,Holy Warrior Queen,112,49,36,5,69,38,18,3
218,Storm Ranger Elite,85,16,10,19,99,26,11,16
219,Earth Paladin Slayer,189,21,34,5,21,38,12,13
220,Fire Ranger Slayer,156,34,33,12,82,15,15,20
221,Earth Archer Queen,64,49,38,12,2,13,30,12
222,Dark Assassin Slayer,148,12,26,8,44,28,31,21
223,Shadow Assassin Master,128,27,24,3,40,35,8,7
224,Wind Warrior Queen,123,17,34,6,57,37,10,17
225,Shadow Paladin King,50,48,31,19,43,43,34,23
226,Holy Archer Legend,197,28,22,2,85,43,15,9
227,Shadow Berserker Guardian,75,32,19,11,16,49,14,16
228,Fire Priest Queen,81,27,26,8,42,14,17,7
229,Holy Archer Lord,125,18,18,15,51,44,20,9
230,Storm Paladin Slayer,107,41,11,11,87,36,11,15
231,Light Necromancer Queen,135,20,7,9,46,22,12,23
232,Earth Paladin King,194,12,12,4,38,24,24,4
233,Shadow Necromancer Guardian,126,12,34,4,86,20,32,2
234,Light Warrior Lord,57,35,8,14,6,21,12,2
235,Earth Mage Legend,51,42,9,7,70,17,32,24
236,Ancient Necromancer Queen,189,40,5,12,27,29,6,1
237,Earth Priest King,159,10,25,2,67,21,17,22
238,Shadow Knight Prince,134,11,5,2,53,35,27,4
239,Light Necromancer Lord,135,38,17,14,44,58,30,1
240,Storm Priest Queen,152,13,9,15,64,33,25,14
241,Dark Warrior Master,108,17,38,12,21,53,21,7
242,Ice Archer King,123,27,36,14,97,49,18,1
243,Holy Paladin Elite,73,24,37,19,78,53,13,11
244,Earth Paladin Master,117,22,10,15,83,47,34,12
245,Fire Warrior Master,98,33,28,17,94,34,32,4
246,Dark Mage King,103,11,25,13,26,14,25,24
247,Ancient Berserker Prince,99,49,25,11,23,57,25,1
248,Ice Assassin Elite,57,11,16,6,93,56,29,13
249,Storm Berserker Legend,64,48,9,4,15,34,32,20
250,Fire Necromancer Queen,163,20,28,6,41,23,33,11
251,Dark Paladin Legend,103,49,24,7,97,17,27,5
252,Storm Mage Legend,105,45,26,8,7,50,10,3
253,Earth Mage Elite,135,21,7,12,65,35,21,14
254,Ancient Assassin Master,79,33,9,12,80,35,28,1
255,Dark Assassin King,169,45,32,13,1,20,9,6
256,Ancient Mage Champion,102,26,14,6,38,34,12,16
257,Shadow Warrior Prince,77,37,5,5,46,10,25,8
258,Storm Necromancer Prince,79,29,10,16,1,35,15,11
259,Holy Knight Elite,109,19,30,7,51,16,13,20
260,Storm Priest King,93,38,8,12,74,47,9,14
261,Wind Priest Champion,174,18,32,3,56,34,26,8
262,Storm Mage Master,73,22,32,11,12,35,20,2
263,Wind Knight Legend,174,18,20,14,37,48,22,7
264,Light Berserker Queen,128,26,22,11,38,38,28,2
